artworkId,titleZh,titleEn,year,medium,dimensions,series,category,image,sourceFile
KXW-O-057,Two Two,Two Two,2025,Oil on Canvas,40 × 50 cm,万物存域 / Realm of Coexistence,oil,assets/images/catalogue-raisonne/TwoTwo.jpg,KXW-O-057_TwotwoArtwork.docx
KXW-O-060,向阳而生,Growing Toward the Sun,2023,Oil on Canvas,50 × 60 cm,光与生命 / Light and Life,oil,assets/images/catalogue-raisonne/向阳而生.jpg,KXW-O-060_向阳而生.docx
KXW-W-058,外婆家,Grandmother's House,2021,Watercolor on Paper,180 × 130 cm,田园诗 / Pastoral Poems,watercolor,assets/images/catalogue-raisonne/外婆家.jpg,KXW-W-058_外婆家-Artwork.docx
KXW-W-065,拂晓,Daybreak,2020,Watercolor on Paper,40 × 55 cm,立身之境 / Grounds for Living,watercolor,assets/images/catalogue-raisonne/拂晓.jpg,KXW-W-065_拂晓.docx
KXW-O-062,曼珠沙华,Red Spider Lilies,2025,Oil on Canvas,90 × 110 cm,万物存域 / Realm of Coexistence,oil,assets/images/catalogue-raisonne/曼珠沙华.jpg,KXW-O-062-曼珠沙华Artwork.docx
KXW-P-066,窗前,By the Window,2021,Black-and-White Woodcut,80 × 100 cm,万物存域 / Realm of Coexistence,printmaking,assets/images/catalogue-raisonne/KW-P-005.jpg,KXW-P-066-窗前.docx
KXW-O-063,红裙,The Red Dress,2006,Oil on Canvas,75 × 90 cm,光与生命 / Light and Life,oil,assets/images/catalogue-raisonne/红裙.jpg,KXW-O-063_红裙.docx
KXW-O-061,自画像,Self-Portrait,2005,Oil on Canvas,75 × 90 cm,光与生命 / Light and Life,oil,assets/images/catalogue-raisonne/自画像.jpg,KXW-O-061-自画像.docx
KXW-O-059,苗族少女,Miao Girl,2001,Oil on Canvas,40 × 50 cm,田园诗 / Pastoral Poems,oil,assets/images/catalogue-raisonne/苗家女.jpg,KXW-O-059_苗族少女Artwork.docx
KXW-O-064,荷塘,Lotus Pond,2006,Oil on Canvas,75 × 90 cm,光与生命 / Light and Life,oil,assets/images/catalogue-raisonne/荷塘.jpg,KXW-O-064_荷塘.docx
KXW-W-066,采茶去,Heading to the Tea Fields,2020,Watercolor on Paper,30 × 55 cm,田园诗 / Pastoral Poems,watercolor,assets/images/catalogue-raisonne/采茶去.jpg,KXW-W-066-采茶去.docx
KXW-O-067,《花间静语》,Whispers Among the Flowers,2024,Oil on Canvas,89 × 100 cm,田园诗 / Pastoral Poems,oil,assets/images/catalogue-raisonne/KW-O-XXX.jpg,KXW-O-067_花间静语_2024.docx
KXW-W-005,大芬印象,Dafen Impression,2022,Watercolor on Paper,79 × 109 cm,万物存域 / Realm of Presence,watercolor,assets/images/catalogue-raisonne/KW-W-005.jpg,KXW-W-005_大芬印象_Dafen_Impression.docx
KXW-W-006,梦之蓝,Blue Dream,2020,Watercolor on Paper,53 × 76 cm,光与生命 / Light and Life,watercolor,assets/images/catalogue-raisonne/KW-W-006.jpg,KXW-W-006_梦之蓝_Blue_Dream.docx
KXW-W-003,《凯风自南》,Kai Feng from the South,2025,纸本水彩,80 × 114 cm,万物存域 / Realm of Coexistence,watercolor,assets/images/catalogue-raisonne/KXW-003.jpg,KXW-W-003_凯风自南_Artwork_.docx
KXW-W-004,《绿野清风》,Verdant Breeze,2024,Watercolor on Paper / 纸本水彩,78.9 × 115 cm,田园诗 / Pastoral Poems,watercolor,assets/images/catalogue-raisonne/KXW-W-004.jpg,KXW-W-004_绿野清风_Artwork.docx
KXW-W-011,《相遇》,Encounter,2023,Watercolor on Paper / 纸本水彩,62 × 115 cm,万物存域 / Realm of Presence,watercolor,assets/images/catalogue-raisonne/KXW-W-011.jpg,
KXW-W-007,《翠影幽塘》,Emerald Shadows in the Quiet Pond,2024,Watercolor on Paper（纸本水彩）,39 × 54 cm,田园诗（Pastoral Poems）,watercolor,assets/images/catalogue-raisonne/KXW-007.jpg,KXW-W-007_翠影幽塘_Artwork.docx
KXW-W-008,暖阳,Warm Sun,2024,纸本水彩 / Watercolor on Paper,53 × 76 cm,田园诗 / Pastoral Poems,watercolor,assets/images/catalogue-raisonne/KXW-008.jpg,KXW-W-008_暖阳_Artwork.docx
KXW-W-016,《万物未言》,When All Things Remain Unspoken,2024,Watercolor on Paper（纸本水彩）,112 × 84 cm,万物存域 / Realm of Coexistence,watercolor,assets/images/catalogue-raisonne/KXW-016.jpg,KXW-W-016_万物未言_Artwork.docx
KXW-W-017,《水岸夕阳》,Sunset over the Riverside,2024,Watercolor on Paper（纸本水彩）,53 × 76 cm,Grounds for Living（立身之境）,watercolor,assets/images/catalogue-raisonne/KXW-017.jpg,KXW-W-017_水岸夕阳_Artwork_.docx
